User-ID;ISBN;Book-Rating
252;1;3
404;1;1
486;1;1
542;1;3
543;1;1
671;1;1
769;1;1
871;1;1
931;1;1
943;1;2
965;1;1
1052;1;1
1116;1;1
1207;1;1
1310;1;1
1674;1;1
1700;1;3
1960;1;3
1973;1;1
2005;1;1
2082;1;3
2091;1;1
2141;1;1
2221;1;1
2327;1;1
2453;1;2
2489;1;1
2509;1;1
2569;1;1
2823;1;1
2902;1;1
3051;1;2
3069;1;1
3081;1;1
3132;1;1
3433;1;1
3594;1;1
3751;1;1
3842;1;1
3862;1;1
3873;1;1
4228;1;1
4300;1;1
4343;1;1
4346;1;1
4363;1;1
4405;1;1
4710;1;1
4788;1;1
4877;1;1
5501;1;1
5582;1;1
5594;1;1
5655;1;1
5753;1;1
6031;1;1
6059;1;1
6075;1;1
6150;1;1
6321;1;1
6430;1;1
6728;1;1
6851;1;2
7047;1;3
7048;1;2
7061;1;1
7066;1;1
7068;1;1
7069;1;1
7159;1;1
7664;1;1
7689;1;1
252;2;2
404;2;1
486;2;1
542;2;1
543;2;1
965;2;1
1207;2;1
1633;2;2
1674;2;3
1700;2;1
1960;2;2
2082;2;3
2091;2;1
2221;2;1
2327;2;1
2452;2;2
2453;2;2
2489;2;1
2970;2;1
3051;2;3
3433;2;1
3594;2;1
3917;2;1
4228;2;2
4300;2;1
4343;2;1
4346;2;1
4405;2;1
4857;2;1
4877;2;1
5582;2;1
5594;2;1
5729;2;1
5753;2;1
6075;2;1
6321;2;1
6427;2;1
6713;2;1
6728;2;1
6851;2;1
7047;2;1
7048;2;2
7058;2;4
7068;2;1
395;3;1
544;3;1
924;3;1
1579;3;1
1603;3;1
1700;3;2
2436;3;1
2492;3;1
3674;3;2
4344;3;1
5341;3;2
5785;3;1
7079;3;1
34;4;1
164;4;1
389;4;1
395;4;1
543;4;3
592;4;1
653;4;1
753;4;2
801;4;1
965;4;1
991;4;1
1058;4;1
1255;4;1
1359;4;1
1378;4;1
1467;4;2
1640;4;2
1674;4;2
1700;4;2
1806;4;1
1888;4;1
2005;4;1
2082;4;2
2091;4;1
2093;4;1
2453;4;8
2569;4;1
2724;4;1
2830;4;1
2865;4;1
2891;4;1
3051;4;3
3210;4;1
3253;4;1
3438;4;1
3540;4;2
3594;4;1
3873;4;1
4022;4;1
4040;4;1
4059;4;1
4236;4;1
4307;4;2
4343;4;1
4346;4;1
4390;4;2
4844;4;1
4877;4;2
5191;4;2
5228;4;1
5231;4;1
5419;4;1
5462;4;1
5508;4;1
5582;4;1
5753;4;1
6023;4;1
6202;4;1
6393;4;1
6398;4;1
6423;4;1
6430;4;1
6770;4;1
6836;4;1
7047;4;1
7061;4;1
7069;4;1
7420;4;1
459;5;1
543;5;3
965;5;1
1633;5;2
1674;5;3
1700;5;1
2005;5;1
2091;5;1
2093;5;1
2453;5;4
2569;5;1
2830;5;1
3594;5;1
3767;5;1
4064;5;1
4151;5;1
4236;5;1
4343;5;1
4346;5;1
4722;5;1
4769;5;1
4877;5;1
5223;5;1
5228;5;1
5419;5;1
5582;5;1
5594;5;1
5753;5;1
5917;5;1
6851;5;4
7046;5;1
7047;5;1
7634;5;1
334;6;1
965;6;1
1700;6;1
6963;6;2
7047;6;1
7059;6;1
965;7;2
1700;7;1
1840;7;1
3049;7;2
